"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "CH" "CH2" "CH2(S)" "CH3" "CH4" "CO" "CO2" "HCO" "CH2O" "CH3O" "C2H2" "C2H3" "C2H4" "HCCO" "CH2CO" "CH3CO" "N2" 
1.5614095852161958e-06 591578.1018025255 1695.4253974393366 1.2418139722600787 1659.5918633805443 2.441336335239972e-11 1.7570632922142524e-10 5.995837481157563e-10 0.4268479060094233 1.6160073385587462e-10 1.1661302108300958e-11 1.440948987557557e-08 8.31404883639083e-16 1.3488366684221624e-11 2.3843585148056643e-13 5.3019898621767324e-11 1.7496060339467283e-14 7.815838861499964e-10 5.831136671429621e-12 2.872763013040271e-10 8.041040694223131e-10 3.653581931741703e-15 7.834524104687508e-10 1.2127929612100036e-08 0.09979615195248702 6.569879798330637e-11 1.468861435227045e-09 7.398540040053285e-12 0.4733559102567295
1.6413023093668399e-06 591578.102111498 1695.4253922275084 1.2418139762075515 1659.5918642698741 2.7155007915698896e-11 1.8764031466633844e-10 6.57063627999374e-10 0.42684790503469927 1.7969759503629826e-10 1.3622890951227309e-11 1.5166095811818802e-08 9.274549607798985e-16 1.545270534608914e-11 2.7991319170603867e-13 6.134010619759759e-11 2.120927583655143e-14 8.671687292831217e-10 6.886208631229408e-12 3.1298206011163905e-10 8.853880669025304e-10 4.405580360850068e-15 8.606645323337201e-10 1.2641134842078973e-08 0.09979615113217312 7.20239598689888e-11 1.6136231953611267e-09 8.15200171777718e-12 0.4733559102567295
1.7773878260895115e-06 591578.1026336557 1695.425383368325 1.241813982878706 1659.591865772825 3.21969464692813e-11 2.0848347048101146e-10 7.598296081021396e-10 0.42684790334426076 2.1292644689281865e-10 1.7469313554472467e-11 1.64603924252545e-08 1.1027794430962308e-15 1.9171545159768388e-11 3.6052223280125207e-13 7.733974199562504e-11 2.8862844742566005e-14 1.0237623087168139e-09 8.984884010751609e-12 3.58459750621819e-10 1.0321945112541855e-09 5.935521626546646e-15 9.994466787532388e-10 1.3495695690872695e-08 0.09979614972555664 8.334168142004953e-11 1.873820015068625e-09 9.541650352307087e-12 0.4733559102567295
1.913473342084782e-06 591578.1031505787 1695.4253745336969 1.241813989482982 1659.5918672607088 3.771466473605737e-11 2.2994886276626423e-10 8.684953813556991e-10 0.4268479016160069 2.492134663770181e-10 2.2000348192094275e-11 1.776185830746017e-08 1.2925671647344372e-15 2.3371289977337242e-11 4.542007883997634e-13 9.576494110983441e-11 3.839481700103114e-14 1.1940981912485256e-09 1.149664265905308e-11 4.0594676216885477e-10 1.1894024797320422e-09 7.810472831936747e-15 1.147177406941211e-09 1.4326412286324325e-08 0.09979614830671518 9.532140906817235e-11 2.1507941739764375e-09 1.1030132597481148e-11 0.4733559102567295
2.0495588573600046e-06 591578.1036622323 1695.4253657253096 1.2418139960199355 1659.5918687334251 4.371671161446616e-11 2.5200353594682943e-10 9.8279151295686e-10 0.4268478998501427 2.885917842147001e-10 2.7277091941271188e-11 1.9070732111261523e-08 1.4964161052240115e-15 2.8063927774514007e-11 5.615357940347079e-13 1.1675763616685755e-10 5.0074918063386684e-14 1.3783008187093119e-09 1.4463683895556502e-11 4.5529925200492367e-10 1.3568636938476903e-09 1.0070409389822904e-14 1.303609064078417e-09 1.5134341222380412e-08 0.09979614687508091 1.0793491953048186e-10 2.44408136287144e-09 1.2595385259613298e-11 0.4733559102567295
2.5187775572318305e-06 591578.1053855378 1695.4253355762376 1.2418140180371149 1659.5918736936967 6.822756177326943e-11 3.321732712288683e-10 1.4168065738824616e-09 0.4268478934756532 4.4839405823753126e-10 5.2006813947591025e-11 2.3643216866755462e-08 2.3014876000940885e-15 4.812735455524097e-11 1.0420560745503335e-12 2.1049919767525312e-10 1.1072164514590401e-13 2.1210867731011167e-09 2.8749340316763747e-11 6.381724250358608e-10 2.011117962089766e-09 2.1347592229043192e-14 1.9067179999892574e-09 1.775813391466681e-08 0.09979614183382568 1.5594560826632006e-10 3.5748253436152488e-09 1.8414075579360094e-11 0.4733559102567295
2.63608223091289e-06 591578.1058063452 1695.4253280985122 1.2418140234134054 1659.5918749049263 7.530744178829851e-11 3.531082596922222e-10 1.5340966770652854e-09 0.42684789181348703 4.942506761768871e-10 5.999741852209364e-11 2.4801495912402143e-08 2.525959502972037e-15 5.411113329188594e-11 1.1904633362831604e-12 2.395243079808088e-10 1.319052366328933e-13 2.3331484428789376e-09 3.345829670517304e-11 6.865372436855099e-10 2.19281658413631e-09 2.5158787657075457e-14 2.0721224215325007e-09 1.8378352658233777e-08 0.09979614054618123 1.6895042557309462e-10 3.884935276717244e-09 2.003896493865468e-11 0.4733559102567295
2.7533869040884634e-06 591578.1062231081 1695.4253206463982 1.241814028738023 1659.5918761045145 8.277592407959307e-11 3.7437058473211574e-10 1.6546493160445962e-09 0.42684789012411495 5.424811904599473e-10 6.878879205017916e-11 2.5966024486023022e-08 2.7591593629342507e-15 6.04832936466287e-11 1.350399743061972e-12 2.708597984213429e-10 1.5592247582752412e-13 2.5557414034927107e-09 3.867528563597907e-11 7.358584849603692e-10 2.3816348546087618e-09 2.941782709934109e-14 2.2431469750362395e-09 1.898528739912986e-08 0.09979613924705329 1.8232971888456729e-10 4.205582146734428e-09 2.1874066649525536e-11 0.4733559102567295
2.8706915767635183e-06 591578.1066357966 1695.425313220647 1.2418140340105848 1659.5918772923749 9.063712589914245e-11 3.9594444589105905e-10 1.7783302813119364e-09 0.4268478884076478 5.930914405499435e-10 7.842246867147784e-11 2.7136903746753592e-08 3.000822418420508e-15 6.724449291775229e-11 1.5219679578084172e-12 3.04654484019544e-10 1.829903993275615e-13 2.7890627931252427e-09 4.4428544149707866e-11 7.860799846262005e-10 2.577501224680322e-09 3.414823253397314e-14 2.4196687945289056e-09 1.9579475118145455e-08 0.09979613793614794 1.9606943758819472e-10 4.536535640441572e-09 2.3682574193488475e-11 0.4733559102567295
2.98799624894298e-06 591578.1070443874 1695.4253058220959 1.241814039230794 1659.5918784684409 9.889486645886158e-11 4.1781520872439575e-10 1.9050144010709697e-09 0.4268478866641901 6.460848986517364e-10 8.893926674348712e-11 2.8314225395352575e-08 3.2506863500215058e-15 7.439449190722275e-11 1.7052423147592704e-12 3.409844487618585e-10 2.1333730884704737e-13 3.033178215514645e-09 5.074556955758919e-11 8.371516884505965e-10 2.780349405652603e-09 3.9374815489320484e-14 2.6015734022834403e-09 2.0161418721660383e-08 0.0997961366131887 2.10156476862641e-10 4.877581135063652e-09 2.5422880571824606e-11 0.4733559102567295
