"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O2" "O" "OH" "HO2" "H2O" "CH3" "CH4" "CO" "CO2" "CH2O" "N2" 
4.686979896220497e-07 682803.1207964625 1499.3639030597164 1.5135262141866868 1489.7424305471764 4.65343111875338e-13 2.5878333775127443e-12 0.22014123224670132 2.291834385143065e-13 2.404149870399413e-13 5.610816075682716e-09 2.6925659989139506e-15 2.601602109744936e-09 0.055186663206322255 7.574781717741923e-21 1.3650205723959145e-29 1.2199780471535943e-14 0.7246720963310207
5.468942880230987e-07 682803.121272673 1499.36389858845 1.5135262197361674 1489.7424316212541 6.272463800464738e-13 2.9745362154496015e-12 0.22014123133902233 3.088033399919089e-13 3.2370580628399836e-13 6.546921924362458e-09 4.2418771617766236e-15 3.036274703226468e-09 0.0551866627425053 1.2281976359091704e-20 2.5727934812916343e-29 1.661658452702829e-14 0.7246720963310207
6.250905861374331e-07 682803.1217488862 1499.3638941171525 1.513526225285682 1489.742432695338 8.113071034937159e-13 3.3494121309859123e-12 0.22014123043131847 3.992659269824341e-13 4.182346655335626e-13 7.483030540492701e-09 6.281383318060354e-15 3.471112713310274e-09 0.05518666227851146 1.87046086098337e-20 4.463403398457513e-29 2.1716466557270295e-14 0.7246720963310207
7.032868839650514e-07 682803.1222251024 1499.3638896458306 1.51352623083523 1489.7424337694288 1.016847783639658e-12 3.712829289512141e-12 0.22014122952359066 5.002249288506942e-13 5.236142813686483e-13 8.419141638552567e-09 8.871951517695026e-15 3.906111154479759e-09 0.055186661814346095 2.7150835779755384e-20 7.267191664932077e-29 2.7500186903866858e-14 0.7246720963310207
8.035079100649275e-07 682803.1228354533 1499.3638839150858 1.5135262379479086 1489.7424351460563 1.3106404543521601e-12 4.162421098767102e-12 0.22014122836015906 6.4443201369702e-13 6.739420742391206e-13 9.618920490471577e-09 1.3091674028682998e-14 4.463857897392985e-09 0.05518666121920152 4.1451436247597465e-20 1.263092970384537e-28 3.591402826174669e-14 0.7246720963310207
9.037289356938223e-07 682803.1234458088 1499.3638781843047 1.5135262450606404 1489.742436522694 1.637307741558713e-12 4.5944995158759474e-12 0.22014122719669144 8.04649658287442e-13 8.407176908936981e-13 1.081870240378681e-08 1.8431802391498702e-14 5.0218504408982245e-09 0.05518666062379407 6.031598108737576e-20 2.060517510515388e-28 4.545398187980799e-14 0.7246720963310207
1.003949960851732e-06 682803.1240561687 1499.3638724534815 1.5135262521734243 1489.7424378993421 1.9955695382130865e-12 5.009760178493137e-12 0.2201412260331895 9.802236993039553e-13 1.023210667505632e-12 1.2018486838880826e-08 2.5005923777110154e-14 5.580079363709057e-09 0.05518666002813379 8.448805240207819e-20 3.196978699548602e-28 5.6121597572425614e-14 0.7246720963310207
1.1041709855386541e-06 682803.1246665332 1499.3638667226137 1.5135262592862595 1489.742439276 2.3841965815901107e-12 5.408871095752841e-12 0.22014122486965504 1.1705259951684847e-12 1.2207200484120343e-12 1.3218273277515955e-08 3.292257067425988e-14 6.138535618224586e-09 0.055186659432230334 1.1474327555795626e-19 4.762478349422931e-28 6.791840740820377e-14 0.7246720963310207
1.204392009754584e-06 682803.1252769019 1499.3638609917134 1.5135262663991451 1489.7424406526675 2.80200844372244e-12 5.792473740253187e-12 0.22014122370608957 1.3749533974805798e-12 1.4325732166985324e-12 1.4418061221989377e-08 4.228542411406927e-14 6.697210515762965e-09 0.05518665883609297 1.518875806455624e-19 6.859524273554043e-28 8.084592640155934e-14 0.7246720963310207
1.304613033499519e-06 682803.125887275 1499.3638552607745 1.513526273512081 1489.7424420293448 3.2478715915767723e-12 6.161184102144553e-12 0.2201412225424947 1.592926758151376e-12 1.6581247653830279e-12 1.561785019431744e-08 5.319350982412071e-14 7.256095712307331e-09 0.05518665823973061 1.9675553828376627e-19 9.603605265426987e-28 9.490565318255582e-14 0.7246720963310207
