"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "CH" "CH2" "CH3" "CH4" "CO" "CO2" "HCO" "CH2O" "CH3O" "C2H2" "C2H3" "C2H4" "HCCO" "CH2CO" "CH3CO" "N2" 
3.816874106541143e-06 591578.1084430548 1695.425251599388 1.2418140737701877 1659.5918843720726 1.68881325901697e-10 5.797302561424281e-10 2.876071964596979e-09 0.42684787358151 1.0888316929005633e-09 1.9212290351897274e-10 3.682371074022748e-08 5.2291728080658164e-15 1.3870725300700406e-10 6.729215554027724e-10 5.422452339351309e-13 5.0671990290819115e-09 1.1537312162963066e-10 1.2186017295129856e-09 4.407881543593116e-09 9.253490473206997e-14 4.031240358727278e-09 2.396361606705584e-08 0.09979612690051594 3.1855486838274453e-10 7.558005402533974e-09 3.915486136541884e-11 0.4733559102567295
4.349515700234526e-06 591578.1101090504 1695.4252194282315 1.2418140950551688 1659.5918891673857 2.2489465895925838e-10 6.893485990999686e-10 3.5594665306651342e-09 0.4268478644799701 1.435512786586605e-09 2.893670027892141e-10 4.247516195795289e-08 6.673486874275066e-15 1.8901824867055498e-10 9.61573133280624e-10 8.877005355720611e-13 6.662160098471972e-09 1.7668833497209934e-10 1.4791243569911168e-09 5.627503205817681e-09 1.4421961271990299e-13 5.07380719380064e-09 2.6164872998730247e-08 0.09979612029640318 3.9529725670141073e-10 9.512671342029469e-09 4.939104428695885e-11 0.4733559102567295
4.482676097252449e-06 591578.1105114953 1695.4252115014403 1.2418141001968577 1659.5918903257616 2.4028648589293187e-10 7.17294641192225e-10 3.7363085796449614e-09 0.4268478621206503 1.5296802556942068e-09 3.1804329116511413e-10 4.391124035236406e-08 7.05289853501897e-15 2.0274956837888732e-10 1.0435974432534043e-09 9.94334310304983e-13 7.0965671792395905e-09 1.9485279742783028e-10 1.545730624121398e-09 5.953024755470247e-09 1.5958915656456988e-13 5.3484335024356575e-09 2.66908444645197e-08 0.09979611859806516 4.152153973142171e-10 1.0027556976793722e-08 5.196788113496969e-11 0.4733559102567295
4.615836493722733e-06 591578.1109082471 1695.4252036223927 1.2418141052658103 1659.5918914677504 2.562392235128495e-10 7.454370110917659e-10 3.9153575230933165e-09 0.42684785972790856 1.6268094336835869e-09 3.485734403761442e-10 4.5356718193279455e-08 7.43922248958083e-15 2.1692608521557744e-10 1.1298074991916792e-09 1.1098596395450601e-12 7.54556927249302e-09 2.142159827642951e-10 1.612874788262855e-09 6.286701708113359e-09 1.7598493354821525e-13 5.628482307068023e-09 2.7207890220097954e-08 0.09979611688032644 4.354065615134389e-10 1.0552609098065898e-08 5.4123967988139005e-11 0.4733559102567295
4.748996889653369e-06 591578.111299294 1695.4251957923916 1.241814110261879 1659.5918925933195 2.727558990018347e-10 7.737645823587259e-10 4.0965089010333264e-09 0.4268478573018276 1.7268801534989384e-09 3.81016329737306e-10 4.6811658584209694e-08 7.83221300027509e-15 2.3153908701566688e-10 1.2200331724803913e-09 1.2347383498081166e-12 8.008783994896448e-09 2.348129908512266e-10 1.6805271083535306e-09 6.628484090617652e-09 1.9344191526821488e-13 5.9138596269713835e-09 2.7716455167463017e-08 0.09979611514292565 4.5585978287114284e-10 1.1087651384600482e-08 5.649050685230456e-11 0.4733559102567295
4.882157285052211e-06 591578.1116846126 1695.4251880124316 1.241814115184761 1659.5918937024 2.8983929152102353e-10 8.022672236718091e-10 4.279666693417099e-09 0.42684785484248194 1.8298713980722163e-09 4.1542881139042335e-10 4.8276118995239427e-08 8.231658671846267e-15 2.4657989934509093e-10 1.3142467031334802e-09 1.3694127787242451e-12 8.486099653395456e-09 2.56677066371361e-10 1.7486609992587208e-09 6.978326615618721e-09 2.1198866910387743e-13 6.2044793347615574e-09 2.8216951081435943e-08 0.09979611338561846 4.7656497577211e-10 1.1632522316555413e-08 5.927954515241272e-11 0.4733559102567295
4.9620844273900915e-06 591578.1119131211 1695.4251833668716 1.241814118104216 1659.5918943601268 3.003666121352982e-10 8.194553284481486e-10 4.39052758403222e-09 0.4268478533503587 1.8930830662313553e-09 4.370547263651803e-10 4.9159730880886444e-08 8.474430186004375e-15 2.5580948372243226e-10 1.3728179857578803e-09 1.4551340538059305e-12 8.779544698909282e-09 2.7042326787426527e-10 1.7897776156245944e-09 7.19216563907516e-09 2.236527163098784e-13 6.381400597627917e-09 2.8513661562093325e-08 0.09979611232116338 4.89109716966996e-10 1.1964224712652523e-08 6.090778640084382e-11 0.4733559102567295
5.0420115695409204e-06 591578.1121395412 1695.4251787396413 1.2418141209969897 1659.5918950118426 3.110996068322425e-10 8.36701091406334e-10 4.502059410058407e-09 0.4268478518462904 1.9573339959221538e-09 4.594227011153209e-10 5.004680341842099e-08 8.719411815779444e-15 2.651880558653647e-10 1.432930293300544e-09 1.5446297805004707e-12 9.078232020134183e-09 2.8464459761093435e-10 1.8310537520712027e-09 7.408884448227141e-09 2.357213767177897e-13 6.560164148065963e-09 2.880768940116522e-08 0.09979611124940191 5.01739780559861e-10 1.2299381144451764e-08 6.246136857835346e-11 0.4733559102567295
5.121938711506422e-06 591578.1123638696 1695.4251741309754 1.2418141238630394 1659.5918956575374 3.220388080942125e-10 8.540026024825543e-10 4.614243684495438e-09 0.42684785033029077 2.022619121992579e-09 4.825447988269652e-10 5.0937347485110105e-08 8.966562655801566e-15 2.7471366129167923e-10 1.4945589936563893e-09 1.6380000225080666e-12 9.382104344817514e-09 2.993478693954974e-10 1.872484521719719e-09 7.628474586668755e-09 2.4820095526904486e-13 6.740753503384306e-09 2.909911504832439e-08 0.09979611017028538 5.144532226846254e-10 1.2637960690538817e-08 6.403635230130741e-11 0.4733559102567295
5.201869329215958e-06 591578.1125861098 1695.4251695408584 1.2418141267024105 1659.5918962972219 3.3318522214051416e-10 8.713587716837282e-10 4.727067365899326e-09 0.4268478488023063 2.0889361733310035e-09 5.064340761067615e-10 5.183141258739436e-08 9.215853817922938e-15 2.843847579798914e-10 1.5577118701290485e-09 1.735346424219234e-12 9.69117352864101e-09 3.1454047324752004e-10 1.9140670367212494e-09 7.850937639603717e-09 2.6109727658630544e-13 6.923160648127971e-09 2.9388029462507512e-08 0.09979610908371868 5.272487124126015e-10 1.2979948320196522e-08 6.564330402598766e-11 0.4733559102567295
